"ROI_COL","RMSE"
"R301",1658.19050072517
"R302",1134.65301532999
"R303",7667.92689848205
"R304",3109.72632062747
"R305",1561.6135282564
"R306",2123.18716525436
"R307",965.948625676401
"R308",940.885129459689
"R309",2833.17251087745
"R310",3159.75282911675
"R311",5469.50953714615
"R312",2431.99669380318
"R313",1568.48068101834
"R314",5328.67913226012
"R315",1170.72662662429
"R316",925.966839342835
"R317",594.801936069314
"R318",3958.6450297903
"R319",1614.10871655621
"R320",846.053625475857
"R321",1219.75077720289
"R322",526.405665752533
"R323",598.446347217738
"R324",1666.65566970537
"R325",1692.59636476096
"R326",2880.74032781062
"R327",1321.04789987043
"R328",873.22116211991
"R329",2843.97542499551
"R330",686.976065582297
"R331",894.334667036495
"R332",590.105396074923
"R333",3887.57132298291
"R334",1739.75470838517
"R335",837.051538403796
"R336",1218.66290390174
"R337",536.201610017436
"R338",655.644551278281
"R339",1661.44409256718
"R340",1702.3440791191
"R341",2901.95618081528
"R342",1275.55750133937
"R343",902.040790069793
"R344",2859.86927683213
"R345",592.460297305397
